epoch,loss,mae,val_loss,val_mae
0,59.651023864746094,60.15101623535156,46.46782684326172,46.96783447265625
1,64.11275482177734,64.61273956298828,34.155250549316406,34.655250549316406
2,44.631717681884766,45.131717681884766,21.814054489135742,22.314054489135742
3,25.5765323638916,26.076528549194336,9.884073257446289,10.384074211120605
4,8.244030952453613,8.728062629699707,2.006235122680664,2.46199107170105
5,3.1216580867767334,3.58280086517334,1.924845576286316,2.3765323162078857
6,2.9644691944122314,3.4225881099700928,1.830631971359253,2.279357433319092
7,2.8074874877929688,3.265148162841797,1.7410739660263062,2.1850533485412598
8,2.6487841606140137,3.105715274810791,1.6604336500167847,2.1026830673217773
9,2.495692491531372,2.951019287109375,1.5947563648223877,2.037217140197754
10,2.362187147140503,2.8152148723602295,1.5450350046157837,1.987611174583435
11,2.262495756149292,2.7142956256866455,1.5077297687530518,1.9470020532608032
12,2.191117286682129,2.6419994831085205,1.4787973165512085,1.9153459072113037
13,2.1398961544036865,2.5866029262542725,1.4562267065048218,1.8901207447052002
14,2.1037662029266357,2.5491280555725098,1.439120888710022,1.8718847036361694
15,2.0798451900482178,2.5260391235351562,1.4270693063735962,1.8593589067459106
16,2.065023899078369,2.512188196182251,1.4183481931686401,1.8517844676971436
17,2.056328773498535,2.504385471343994,1.41227126121521,1.846129298210144
18,2.05155348777771,2.499943494796753,1.407906174659729,1.8414909839630127
19,2.048225164413452,2.496371269226074,1.4046454429626465,1.8381736278533936
20,2.044705390930176,2.492307662963867,1.4026587009429932,1.8362623453140259
21,2.0397443771362305,2.4866859912872314,1.4001749753952026,1.8336434364318848
22,2.033468723297119,2.4799611568450928,1.3979157209396362,1.8317584991455078
23,2.0268943309783936,2.473278045654297,1.3945603370666504,1.8294415473937988
24,2.0236001014709473,2.469736099243164,1.3921830654144287,1.8269996643066406
25,2.0244994163513184,2.470109224319458,1.3891268968582153,1.8236210346221924
26,2.0270798206329346,2.472717046737671,1.3859264850616455,1.8198474645614624
27,2.0314781665802,2.4777088165283203,1.3823673725128174,1.8156059980392456
28,2.036832332611084,2.483342170715332,1.3813114166259766,1.8150856494903564
29,2.0424766540527344,2.488279342651367,1.3820403814315796,1.816843867301941
30,2.053414821624756,2.4989230632781982,1.3800809383392334,1.814734935760498
31,2.075003147125244,2.520435333251953,1.373011589050293,1.8059509992599487
32,2.1074275970458984,2.555940628051758,1.3686621189117432,1.8009072542190552
33,2.14848256111145,2.599332332611084,1.3745986223220825,1.8085598945617676
34,2.168457269668579,2.6185905933380127,1.403511881828308,1.8423652648925781
35,2.2289233207702637,2.681114912033081,1.43013596534729,1.8738627433776855
36,2.3323814868927,2.790147066116333,1.3905971050262451,1.8282392024993896
37,2.434154748916626,2.892347574234009,1.3611502647399902,1.7948696613311768
38,2.340616226196289,2.7953593730926514,1.3641353845596313,1.7962536811828613
39,2.3808176517486572,2.842012643814087,1.4085052013397217,1.8503106832504272
40,2.5435950756073,3.0043163299560547,1.3609694242477417,1.7949687242507935
41,2.42905330657959,2.892747163772583,1.6055320501327515,2.047661542892456
42,2.231318712234497,2.682668685913086,1.4013183116912842,1.8353888988494873
43,2.4236533641815186,2.8779914379119873,1.3946832418441772,1.8271844387054443
44,2.4712326526641846,2.9305777549743652,1.5013465881347656,1.9436427354812622
45,2.7014660835266113,3.1625421047210693,1.4486960172653198,1.8878799676895142
46,2.8847339153289795,3.347583770751953,1.4555637836456299,1.8929578065872192
47,3.148419141769409,3.616206645965576,1.7601985931396484,2.205998182296753
48,3.39353084564209,3.856929302215576,1.5667684078216553,2.0096704959869385
49,3.641850233078003,4.120082378387451,1.5443742275238037,1.9881212711334229
50,2.547550916671753,3.009615182876587,2.39945125579834,2.877030849456787
